RMSE_mean,RMSE_std,MAE_mean,MAE_std,Pearson_R_mean,Pearson_R_std,n_folds,feature_combo,model
15.060972865112277,3.2844205283930643,10.07981854060406,2.258677201881636,0.415079517375239,0.1652383358727431,24,SampEn,RF
14.629941279288984,3.297417253647064,9.734588237434425,2.2779331377705216,0.4462490248906539,0.1743993266258516,24,SampEn,XGB
14.636892139442876,3.2689362197035075,9.663561679040273,2.2144972293362044,0.4534366883170063,0.1682210829139425,24,SampEn,ANN
15.3172593519447,3.9677721215993036,9.670093933426351,2.6924129012608016,0.42065241774320095,0.20385354085949947,24,SampEn,SVR
15.102540962399326,3.088257478471067,10.209266696301867,2.189514494141659,0.41613611427965297,0.153126623391747,24,ApEn,RF
14.693456159471602,3.1389805047537185,9.918404177230451,2.2352106724064646,0.4468140461038083,0.16534086073139714,24,ApEn,XGB
14.716523263849284,3.144826244749979,9.84077399923906,2.245888357121369,0.45572018036374756,0.16475558145865174,24,ApEn,ANN
15.306534372497437,3.700488698544652,9.827756111598418,2.562920892765529,0.4204166305874413,0.19325822052127034,24,ApEn,SVR
13.307468738260928,2.2401711595695906,9.668056657509236,2.019614314367514,0.6092711811839451,0.1189321094768417,24,PE,RF
12.860906952625587,2.167810467857774,9.39488305136815,1.9643145761461525,0.6424547954603372,0.1238539536627396,24,PE,XGB
12.912580920343126,2.189604153578208,9.419354534318712,1.9875917725198826,0.6415735853170778,0.1213028070727882,24,PE,ANN
12.973860753883903,2.2168403901082923,9.412010450469511,2.0035852530383758,0.6471178058097186,0.12462279225198634,24,PE,SVR
14.619187443235385,3.105744498744922,9.817936504800254,2.1825690466407703,0.4561685790553966,0.15634628315740584,24,SampEn_ApEn,RF
14.52887716990604,3.195975780642375,9.703568947801754,2.2532775846326625,0.4552263356619113,0.16386340748818382,24,SampEn_ApEn,XGB
14.684187552868716,3.313187789843442,9.683685895511067,2.3158335647270123,0.44065565646622673,0.18031888612164146,24,SampEn_ApEn,ANN
15.172265334239095,3.862483463916926,9.564412598545264,2.5918723420874263,0.4310204504363171,0.19713161215395286,24,SampEn_ApEn,SVR
12.641381949551857,2.258561960204595,8.749495842014591,1.7793867443846982,0.6287102526387622,0.11752601827037785,24,SampEn_PE,RF
12.662276525328913,2.3441770221068814,8.835217736613656,1.8985938084839078,0.6297400930626559,0.12033372944987099,24,SampEn_PE,XGB
12.797293164073166,2.345197971897656,8.978363356237113,1.964716609755325,0.6262683242637186,0.11639763150229365,24,SampEn_PE,ANN
12.581396435134073,2.4166265606020167,8.445060503185422,1.790031795792965,0.6398239037978369,0.1300028909378255,24,SampEn_PE,SVR
12.917263953573451,2.2422781228245703,9.04285344338785,1.8311704091639456,0.6177297217839365,0.11831884952554396,24,ApEn_PE,RF
12.783968309030618,2.2020981843118435,9.112964502955025,1.9129004603972015,0.6353216580294127,0.12229824643917915,24,ApEn_PE,XGB
12.662793266264657,2.0313807078210746,8.948367177860192,1.8243185355860518,0.6431586745536102,0.11621406588207348,24,ApEn_PE,ANN
12.758014352516653,2.2898303545822856,8.701501743546064,1.743977157867996,0.6411825642724517,0.12024893811089311,24,ApEn_PE,SVR
11.526466708180942,2.131980662556673,8.068548673248253,1.6996986176123996,0.6997798445921483,0.0930465588742616,24,All,RF
11.627577320020777,2.039618021126481,8.149920756811726,1.6720369339915728,0.6931173422247081,0.0959237428795061,24,All,XGB
11.887799154345645,2.040384997620198,8.404697629671553,1.7970613275785,0.6893144204879732,0.09437529094730886,24,All,ANN
11.466538016409222,2.109359177533111,7.919357470826601,1.6407028399524255,0.7087914906818433,0.09654241415400365,24,All,SVR
